City,Country,Latitude,Longitude,DateTime,CurrentTemp,MaxTemp,WindSpeed,Cloudiness,Humidity
Chokurdakh,RU,70.62,147.9,1552700343,-24.75,-24.75,2.12,68,79
Bredasdorp,ZA,-34.53,20.04,1552699841,21.72,22.22,5.1,100,88
Katsuura,JP,33.93,134.5,1552699271,8.6,10,8.2,40,67
Rantepao,ID,-2.97,119.9,1552700346,25.81,25.81,0.72,20,83
Pokhara,NP,28.21,83.99,1552700347,13.61,13.61,1.17,0,53
Agirish,RU,61.92,63.02,1552700349,-8,-8,4.37,68,67
Sergeyevka,KZ,53.88,67.42,1552700350,-7.6,-7.6,6.97,0,79
Cockburn Town,TC,21.46,-71.14,1552700167,23.61,23.61,9.52,92,100
Nhulunbuy,AU,-12.18,136.78,1552698000,31,31,1.5,75,66
Bonavista,CA,48.65,-53.11,1552699832,-0.57,-0.57,2.24,88,78
Haines Junction,CA,60.75,-137.51,1552700354,-4.75,-4.75,1.42,44,89
Gao,ML,16.28,-0.04,1552700173,20.86,20.86,2.02,0,39
Kohlu,PK,29.9,69.25,1552700357,9.91,9.91,0.72,92,83
tumannyy,ru,,,,,,,,
Kaeo,NZ,-35.1,173.78,1552700284,26.11,26.11,3.13,24,66
College,US,64.86,-147.8,1552699507,5.33,6,2.6,75,28
Punta Arenas,CL,-53.16,-70.91,1552699991,8.94,9,4.6,40,93
Sao Joao Da Barra,BR,-21.64,-41.05,1552700363,26.96,26.96,2.07,88,100
San Cristobal,EC,-0.39,-78.55,1552699853,11.57,15,2.1,40,87
taolanaro,mg,,,,,,,,
Nemuro,JP,43.32,145.57,1552698000,0,0,3.6,75,91
karakendzha,tj,,,,,,,,
Alyangula,AU,-13.85,136.42,1552698000,31,31,3.1,75,70
Butaritari,KI,3.07,172.79,1552699856,26.66,26.66,3.87,88,100
Puerto Ayora,EC,-0.74,-90.35,1552699815,25.19,25.56,4.6,0,83
Bethel,US,60.79,-161.76,1552697760,-0.75,0,5.7,1,63
Henties Bay,NA,-22.12,14.28,1552698136,16.67,16.67,2.24,92,92
Ust-Tsilma,RU,65.44,52.15,1552700376,-10.25,-10.25,2.77,48,86
Dikson,RU,73.51,80.55,1552699650,-17.77,-17.77,4.91,8,75
barentsburg,sj,,,,,,,,
Maryborough,AU,-25.54,152.7,1552700379,23.31,23.31,1.32,92,89
attawapiskat,ca,,,,,,,,
Mocuba,MZ,-16.84,36.99,1552700381,21.96,21.96,1.32,32,94
Aquiraz,BR,-3.9,-38.39,1552699693,23.61,24,1.5,75,88
Hilo,US,19.71,-155.08,1552699772,22.81,26,3.6,1,61
Hobyo,SO,5.35,48.53,1552700385,26.26,26.26,4.97,64,81
Portree,GB,57.41,-6.19,1552699807,2.78,2.78,1.34,92,80
korla,cn,,,,,,,,
Mamou,GN,10.37,-12.08,1552700388,18.76,18.76,0.92,0,65
Mahebourg,MU,-20.41,57.7,1552699743,23.78,25,2.1,20,94
saleaula,ws,,,,,,,,
Severo-Kurilsk,RU,50.68,156.12,1552700392,-2.35,-2.35,4.82,88,100
Torbay,CA,47.66,-52.73,1552700315,-0.98,-0.57,8.2,75,74
Mount Isa,AU,-20.73,139.49,1552698000,33,33,4.6,8,14
tabiauea,ki,,,,,,,,
Avarua,CK,-21.21,-159.78,1552698000,25,25,6.2,68,88
Clyde River,CA,70.47,-68.59,1552698000,-32,-32,1.5,1,82
Grindavik,IS,63.84,-22.43,1552699896,1.44,2.22,3.6,75,100
Osa,RU,57.28,55.46,1552700400,-10.7,-10.7,1.42,32,77
Cacoal,BR,-11.43,-61.44,1552700379,23.31,23.31,0.97,8,95
Atuona,PF,-9.8,-139.03,1552699923,28.01,28.01,6.17,12,100
Leh,IN,34.16,77.58,1552700404,-21.3,-21.3,0.72,44,78
Ponta Do Sol,BR,-20.63,-46,1552699877,19.46,19.46,1.22,68,95
Sri Aman,MY,1.24,111.46,1552698000,27,27,1,75,88
Yellowknife,CA,62.45,-114.38,1552700305,-5.32,-5,1.5,75,73
Yokadouma,CM,3.52,15.05,1552700408,22.36,22.36,0.97,88,97
Zhangye,CN,38.94,100.46,1552700409,4.96,4.96,1.67,0,85
Axim,GH,4.87,-2.24,1552700411,28.26,28.26,4.37,20,98
Sampit,ID,-2.54,112.95,1552700412,28.61,28.61,4.12,56,89
Camacupa,AO,-12.02,17.48,1552700413,16.76,16.76,1.62,68,94
grand river south east,mu,,,,,,,,
Ursulo Galvan,MX,20.6,-97.44,1552696800,16,16,4.1,90,100
umzimvubu,za,,,,,,,,
Codrington,AU,-28.95,153.24,1552700157,22.31,23,1.52,90,88
bergen,nl,,,,,,,,
Jamestown,AU,-33.21,138.6,1552699845,22.01,22.01,3.17,0,83
Yar-Sale,RU,66.83,70.83,1552700422,-12.2,-12.2,4.77,64,81
dzhusaly,kz,,,,,,,,
Port Alfred,ZA,-33.59,26.89,1552700405,22.23,22.78,3.82,92,91
Kavieng,PG,-2.57,150.8,1552700425,28.86,28.86,5.27,80,99
Caidian,CN,30.59,114.03,1552698000,14,14,3,76,62
Faya,SA,18.39,42.45,1552698000,14.51,15,4.6,0,87
Half Moon Bay,US,37.46,-122.43,1552700423,16.48,20,7.7,1,76
Iqaluit,CA,63.75,-68.52,1552699362,-15,-15,1.5,75,71
Rio Grande,BR,-32.03,-52.1,1552700217,22.16,22.16,5.27,0,93
Wanning,AT,48.64,13.53,1552700419,9.19,12,13.9,75,71
Nome,US,30.04,-94.42,1552700406,13.89,15,2.1,75,44
Vila,IT,45.18,8.4,1552700430,10.64,13.89,2.6,0,70
East London,ZA,-33.02,27.91,1552700436,24.46,24.46,4.97,80,99
Sitka,US,37.17,-99.65,1552699893,6.11,6.11,1.22,0,46
Narsaq,GL,60.91,-46.05,1552697400,-9,-9,1.5,20,56
Carutapera,BR,-1.2,-46.02,1552700440,26.26,26.26,2.82,80,91
Zyryanka,RU,65.73,150.89,1552700441,-20.9,-20.9,1.47,36,56
Qaanaaq,GL,77.48,-69.36,1552700442,-29,-29,3.97,24,100
moyo,ug,,,,,,,,
Ilulissat,GL,69.22,-51.1,1552697400,-16,-16,1.5,64,65
Las Choapas,MX,17.91,-94.09,1552696800,24,24,7.7,40,78
Lavrentiya,RU,65.58,-170.99,1552700447,-8.7,-8.7,8.07,64,100
Guerrero Negro,MX,27.97,-114.04,1552700448,16.76,16.76,5.52,20,52
Ratangarh,IN,28.07,74.62,1552700449,16.16,16.16,1.32,0,69
Griffith,AU,-34.29,146.06,1552700118,27.07,27.22,6.7,8,42
Ostrovnoy,RU,68.05,39.51,1552700451,-4.25,-4.25,6.72,76,87
Longyearbyen,NO,78.22,15.63,1552697400,-18,-18,7.2,20,70
Diego De Almagro,CL,-26.39,-70.05,1552700454,13.91,13.91,1.07,0,84
Arlit,NE,18.74,7.39,1552700455,17.36,17.36,3.77,0,57
Turukhansk,RU,65.8,87.96,1552700456,-20.3,-20.3,1.92,0,66
Grand Gaube,MU,-20.01,57.66,1552700343,23.4,25,2.1,20,94
Bambous Virieux,MU,-20.34,57.76,1552700343,23.67,25,2.1,20,94
galiwinku,au,,,,,,,,
Paamiut,GL,61.99,-49.67,1552700461,-5.65,-5.65,1.87,24,100
tuggurt,dz,,,,,,,,
Cabo San Lucas,MX,22.89,-109.91,1552700157,19.45,20.56,1,75,77
Roebourne,AU,-20.77,117.15,1552700465,40.66,40.66,6.12,8,20
Nuevitas,CU,21.55,-77.27,1552697400,23,23,3.1,0,83
Lasa,CY,34.92,32.53,1552698902,13.17,15,4.6,40,76
Padang,ID,-0.92,100.36,1552700468,28.16,28.16,2.12,0,100
Vanino,RU,53.93,40.55,1552700263,-2.78,-2.78,0.45,92,87
Cherskiy,RU,68.75,161.3,1552699680,-27.77,-27.77,1.46,36,52
Touros,BR,-5.2,-35.46,1552698000,25,25,1.5,75,94
Lagoa,PT,37.14,-8.45,1552700228,12.46,16.67,3.1,0,50
Bandeirantes,BR,-23.11,-50.37,1552700474,22.11,22.11,4.02,88,89
Kruisfontein,ZA,-34,24.73,1552700476,20.01,20.01,6.52,88,87
Pacific Grove,US,36.62,-121.92,1552700466,15.75,19,2.6,1,51
Provideniya,RU,64.42,-173.23,1552700478,-7.9,-7.9,8.07,8,100
Broken Hill,AU,-31.97,141.45,1552698000,26,26,5.7,0,24
Leningradskiy,RU,69.38,178.42,1552700481,-23,-23,8.07,80,100
Hermanus,ZA,-34.42,19.24,1552699898,21.31,22.22,4.02,0,90
Saint Anthony,US,43.97,-111.68,1552697760,-0.03,3,3.1,1,51
Sisophon,KH,13.59,102.97,1552700484,28.96,28.96,2.72,24,73
Belyy Yar,RU,53.6,91.39,1552698000,-5,-5,1,8,79
Sarkand,KZ,45.41,79.91,1552700487,3.96,3.96,4.12,36,79
Siguiri,GN,11.42,-9.17,1552700488,22.36,22.36,3.37,0,41
Ancud,CL,-41.87,-73.83,1552698000,12,12,2.1,0,81
Deputatskiy,RU,69.3,139.9,1552700490,-21.65,-21.65,1.32,0,70
Bull Savanna,JM,17.89,-77.59,1552700491,20.61,20.61,1.37,0,83
Nikolskoye,RU,59.7,30.79,1552700435,2.03,2.22,5,90,92
berbera,so,,,,,,,,
Geraldton,CA,49.72,-86.95,1552698000,-10,-10,2.6,90,78
Bochalema,CO,7.61,-72.65,1552698000,28,28,1.5,40,69
Beira,ES,43.2,-8.36,1552700495,3.53,6.67,1,20,100
Kodiak,US,39.95,-94.76,1552700350,3.42,4.44,3.1,1,34
Zhigansk,RU,66.77,123.37,1552700500,-17.5,-17.5,1.42,24,62
cam pha,vn,,,,,,,,
Kloulklubed,PW,7.04,134.26,1552697400,29,29,4.1,75,74
tsihombe,mg,,,,,,,,
Terra Nova,BR,-12.41,-38.62,1552698000,29,29,4.1,20,74
Alta Floresta,BR,-9.87,-56.08,1552699954,25.61,25.61,1.32,32,85
strai,no,,,,,,,,
Vila Velha,BR,-3.71,-38.6,1552700292,23.64,24,1.5,75,88
Imbituba,BR,-28.24,-48.67,1552698000,24,24,1.5,75,78
Saint-Francois,FR,46.42,3.91,1552699824,9.66,10,2.6,90,81
Souris,CA,46.36,-62.25,1552700461,4.92,5.56,7.2,90,100
Ossora,RU,59.24,163.07,1552700513,-12.9,-12.9,3.77,24,99
Esil,KZ,51.96,66.41,1552700514,-10.9,-10.9,3.92,0,77
Hofn,IS,64.25,-15.21,1552700515,3.01,3.01,9.02,92,100
Khor,RU,47.88,134.96,1552700516,2.46,2.46,3.02,0,64
Jiuquan,CN,39.73,98.49,1552700517,-0.3,-0.3,1.97,0,71
Esperance,TT,10.24,-61.45,1552700407,25.12,26,3.6,20,83
Santa Rosalia,IT,38.07,13.27,1552700489,10.08,16.11,3.6,0,81
Marienburg,DE,52.12,9.98,1552700508,6.78,7.78,6.2,75,70
Kununurra,AU,-15.77,128.74,1552698000,31,31,2.6,0,62
Mar Del Plata,AR,-46.43,-67.52,1552699957,13.11,13.11,3.02,0,97
Yenagoa,NG,4.92,6.26,1552700524,24.86,24.86,2.62,20,90
Aklavik,CA,68.22,-135.01,1552698000,-9,-9,1.5,20,52
Doctor Arroyo,MX,23.67,-100.18,1552700527,11.36,11.36,2.97,92,87
Greenwood,US,32.03,-101.9,1552699865,9.73,11,2.1,44,32
Patuli,IN,23.54,88.25,1552700530,23.26,23.26,2.77,0,96
Port Elizabeth,US,39.31,-74.98,1552700463,13.75,20.56,7.2,1,82
Savinka,RU,50.08,47.1,1552700532,-2.85,-2.85,5.47,80,85
Cabedelo,BR,-6.97,-34.84,1552698000,25,25,2.1,0,88
Ettaiyapuram,IN,9.15,78,1552698000,26,26,2.97,20,69
Lovozero,RU,68.01,35.02,1552700536,-3.2,-3.2,1.87,92,89
Princeton,US,41.37,-89.46,1552700222,1.99,3.33,4.1,40,69
Tura,IN,25.52,90.21,1552700538,21.76,21.76,1.72,20,80
Morant Bay,JM,17.88,-76.41,1552698000,27,27,2.6,20,61
Nichinan,JP,31.65,131.31,1552699989,10.61,12,7.7,20,34
Kichera,RU,55.93,110.1,1552700542,-5,-5,1.52,88,90
Cheney,US,47.49,-117.58,1552699840,4.92,8,2.1,75,60
Kozmodemyansk,RU,56.33,46.55,1552698000,-7,-7,3,0,67
Igbo Ora,NG,7.43,3.28,1552700545,26.11,26.11,2.87,0,91
Lalibela,ET,12.04,39.05,1552700546,9.16,9.16,0.97,48,94
Chulakivka,UA,46.36,32.36,1552700548,2.31,2.31,5.02,12,85
Christchurch,NZ,-43.53,172.64,1552700545,17.93,20,3.6,44,82
Andoain,ES,43.22,-2.02,1552700417,4.42,7.78,1,0,93
Berlevag,NO,70.86,29.09,1552700551,-2,-2,2.92,80,100
Guaranda,EC,-1.59,-79,1552700552,17.96,17.96,1.22,88,99
Port Hueneme,US,34.15,-119.2,1552700544,18.71,21.67,7.2,20,39
Saskylakh,RU,71.97,114.09,1552700555,-17.55,-17.55,3.22,88,83
Lompoc,US,34.64,-120.46,1552700196,16.07,19.44,5.7,1,48
ruatoria,nz,,,,,,,,
Araouane,ML,18.9,-3.53,1552700558,13.66,13.66,2.57,0,24
hunza,pk,,,,,,,,
San Policarpo,PH,12.18,125.51,1552700561,27.51,27.51,5.67,68,85
Acajutla,SV,13.59,-89.83,1552700404,24.11,24.11,1.02,24,88
Praia Da Vitoria,PT,38.73,-27.07,1552699858,15,15,8.17,20,87
Poum,MK,41.28,20.71,1552700564,-7.85,-7.85,0.82,0,76
Saldanha,PT,41.42,-6.55,1552700565,-0.85,-0.85,1.37,8,71
Kedrovyy,RU,56.17,91.82,1552698000,-4,-4,3,0,79
olafsvik,is,,,,,,,,
Champerico,MX,16.38,-93.6,1552696800,27,27,10.3,75,65
Hirson,FR,49.92,4.08,1552700355,9.28,10,8.2,75,100
Flinders,AU,-34.58,150.85,1552700531,23.28,24.44,6.2,40,57
Tahe,CN,52.34,124.71,1552700505,0.91,0.91,2.22,0,49
Varhaug,NO,58.61,5.65,1552700404,4.26,5.56,2.6,75,86
Manturovo,RU,58.33,44.76,1552700575,-6.35,-6.35,2.47,56,88
Luderitz,NA,-26.65,15.16,1552700576,15.41,15.41,3.47,64,96
Kathu,ZA,-27.7,23.05,1552699909,22.22,22.22,1.22,76,53
Yulara,AU,-25.24,130.99,1552698000,31,31,6.2,44,15
Hambantota,LK,6.12,81.12,1552698600,24,24,1.5,0,100
Port Macquarie,AU,-31.43,152.91,1552700045,21.37,22,3.6,75,78
Dingle,PH,11,122.67,1552700582,30.61,30.61,6.02,0,49
Ellisras,ZA,-23.67,27.74,1552700583,17.51,17.51,2.72,0,83
sentyabrskiy,ru,,,,,,,,
kamenskoye,ru,,,,,,,,
Baykit,RU,61.68,96.39,1552700586,-3.55,-3.55,3.02,8,81
Mabaruma,GY,8.2,-59.78,1552700588,25.16,25.16,3.17,100,93
Novoagansk,RU,61.94,76.66,1552700589,-2.75,-2.75,2.17,68,83
Ostrov,RU,57.34,28.36,1552698000,2,2,5,92,93
Souillac,FR,45.6,-0.6,1552700529,9.57,10.56,3.1,90,93
Markova,RU,52.21,104.21,1552700286,-0.96,0,1,0,84
Maraba,BR,-5.35,-49.1,1552698000,27,27,2.6,0,88
Vuktyl,RU,63.86,57.31,1552700595,-17.15,-17.15,1.67,8,60
Calabozo,VE,8.92,-67.43,1552700596,29.16,29.16,6.77,32,46
Hailar,CN,49.2,119.7,1552700597,1.61,1.61,4.12,0,42
Yasnyy,RU,64.04,44.09,1552700598,-1.35,-1.35,3.42,88,87
belushya guba,ru,,,,,,,,
Nanortalik,GL,60.14,-45.24,1552700601,-5.15,-5.15,7.47,36,99
Beringovskiy,RU,63.05,179.32,1552700602,-15.8,-15.8,8.07,76,89
Hay River,CA,60.82,-115.79,1552698000,1,1,2.6,75,69
Labuhan,ID,-2.54,115.51,1552700604,25.86,25.86,1.32,88,87
Elbistan,TR,38.2,37.19,1552700606,1.01,1.01,1.57,80,100
Lahaina,US,20.87,-156.68,1552700497,23.9,28,3.77,20,65
Airai,TL,-8.93,125.41,1552700608,27.51,27.51,0.52,80,53
Saint George,GR,39.45,22.34,1552700608,7.22,7.22,1.22,0,78
Avera,US,33.19,-82.53,1552700365,16.78,20,3.6,1,77
Rawson,AR,-43.3,-65.11,1552700612,16.51,16.51,2.77,92,97
Quepos,CR,9.43,-84.16,1552700506,20.59,23,6.2,20,69
Muros,ES,42.77,-9.06,1552700611,6.1,11.67,1,20,100
Hihya,EG,30.67,31.59,1552700568,15.77,16,4.1,40,48
Isangel,VU,-19.55,169.27,1552698000,31,31,3.1,75,74
Seoul,KR,37.57,126.98,1552698000,2.98,6,2.1,20,60
Samarai,PG,-10.62,150.67,1552700619,24.51,24.51,4.92,92,100
Chuy,UY,-33.69,-53.46,1552700620,20.46,20.46,5.22,8,92
Gavle,SE,60.67,17.14,1552700525,0,0,0.89,92,94
Saint-Philippe,CA,45.36,-73.48,1552700530,5,6.67,6.7,90,75
New Norfolk,AU,-42.78,147.06,1552700594,21.22,22.78,2.6,75,56
La Romana,DO,18.43,-68.97,1552698000,24.16,25,3.12,40,94
Taoudenni,ML,22.68,-3.98,1552700626,16.01,16.01,5.22,0,18
Honiara,SB,-9.43,159.96,1552700627,27.01,27.01,0.67,64,87
Muravlenko,RU,63.79,74.5,1552700629,-11.35,-11.35,9.32,88,87
karaul,ru,,,,,,,,
Almeirim,PT,39.21,-8.63,1552700590,8.9,15,1,0,87
Karratha,AU,-20.74,116.85,1552700609,40.66,40.66,6.12,8,20
westpunt,an,,,,,,,,
Ocos,GT,14.51,-92.19,1552696800,29,29,2.1,40,70
Umm Lajj,SA,25.02,37.27,1552700636,13.36,13.36,2.52,0,100
Barcelona,ES,41.38,2.18,1552700633,8.27,12.78,2.1,75,87
Kieta,PG,-6.22,155.63,1552700638,24.26,24.26,0.62,92,100
Launceston,AU,-41.43,147.14,1552700468,21.21,22.22,2.6,75,52
Aginskoye,RU,51.11,114.54,1552700622,-0.57,-0.57,3.58,0,68
Margate,AU,-43.03,147.26,1552700594,21.23,22.78,2.6,75,56
Victor Harbor,AU,-35.55,138.62,1552700555,26.16,30.56,4.1,0,60
burica,pa,,,,,,,,
Melbu,NO,68.5,14.83,1552699882,-3.35,-2.78,1.77,48,82
Talcahuano,CL,-36.72,-73.12,1552698000,16,16,2.6,0,77
Kisangani,CD,0.52,25.21,1552700647,20.71,20.71,1.77,48,100
Thompson,CA,55.74,-97.86,1552698000,-10,-10,1,20,51
Svetlogorsk,RU,53.14,59.15,1552698000,-12,-12,1,0,78
Bataipora,BR,-22.3,-53.27,1552700651,22.91,22.91,2.17,24,91
Presidencia Roque Saenz Pena,AR,-26.79,-60.44,1552700652,21.11,21.11,5.02,92,96
Roald,NO,62.58,6.12,1552700402,-2.64,2,7.7,56,59
Cachira,CO,7.74,-73.05,1552698000,24.93,28,1.5,40,69
Sechura,PE,-5.56,-80.82,1552700656,25.01,25.01,4.02,12,80
Coihaique,CL,-45.58,-72.07,1552698000,11,11,1.5,0,76
Tasiilaq,GL,65.61,-37.64,1552697400,-8,-8,1.5,0,78
Butembo,CD,0.12,29.29,1552700659,13.16,13.16,0.57,0,90
Vestmannaeyjar,IS,63.44,-20.27,1552700661,1.56,1.56,2.42,80,100
San Jeronimo,PE,-13.65,-73.37,1552700662,8.86,8.86,0.97,44,70
Shingu,JP,33.72,135.99,1552698000,8,8,6.7,75,70
Maumere,ID,-8.63,122.22,1552700664,27.51,27.51,1.87,76,100
Raver,IN,21.25,76.04,1552700665,21.16,21.16,1.97,0,34
Biltine,TD,14.53,20.93,1552700667,22.11,22.11,5.87,8,19
Mpanda,TZ,-6.34,31.07,1552700668,20.11,20.11,2.32,24,78
Harrismith,ZA,-28.27,29.13,1552700669,10.26,10.26,0.37,0,93
Potchefstroom,ZA,-26.71,27.1,1552700670,13.56,13.56,2.82,0,65
Port Hardy,CA,50.7,-127.42,1552698000,9,9,5.7,90,76
Onega,RU,63.91,38.09,1552700673,-0.15,-0.15,5.22,76,87
Ahipara,NZ,-35.17,173.16,1552700674,24.66,24.66,3.22,68,69
Kalianget,ID,-7.35,109.91,1552698000,27,27,1.07,40,74
Jiazi,CN,19.61,110.49,1552698000,22,22,5,75,88
Salalah,OM,17.01,54.1,1552697400,25,25,4.1,75,73
Naze,NG,5.43,7.07,1552700679,23.66,23.66,2.07,44,93
Manokwari,ID,-0.87,134.08,1552700427,27.71,27.71,6.12,24,97
catamarca,ar,,,,,,,,
Eresos,GR,39.17,25.93,1552700528,8.33,8.33,2.24,0,72
Bure,NG,10.52,10.33,1552700683,22.96,22.96,4.57,0,26
Acapulco,MX,16.86,-99.88,1552697040,27,27,2.6,5,83
Kjopsvik,NO,68.1,16.37,1552699882,-3.34,-2.78,0.92,64,82
Lorengau,PG,-2.02,147.27,1552700687,28.46,28.46,5.02,68,97
Krotovka,RU,53.29,51.17,1552700688,-9.55,-9.55,3.22,76,82
Srednekolymsk,RU,67.46,153.71,1552700689,-23.1,-23.1,1.62,64,51
Russell,AR,-33.01,-68.8,1552698000,19,19,0.52,0,68
Bilibino,RU,68.06,166.44,1552700692,-23.05,-23.05,1.42,32,64
paradwip,in,,,,,,,,
Miles City,US,46.41,-105.84,1552700594,1.15,2,6.2,1,69
Paita,PE,-5.09,-81.11,1552700695,24.71,24.71,2.32,32,76
Siyabuswa,ZA,-25.11,29.06,1552700696,13.36,13.36,1.02,0,82
Paracatu,BR,-17.22,-46.87,1552700422,22.91,22.91,1.72,32,84
San Sebastian,PH,11.71,125.02,1552700699,29.16,29.16,4.37,8,80
Datong,CN,40.09,113.3,1552700700,9.11,9.11,3.37,0,43
Coahuayana,MX,18.62,-100.35,1552700701,19.56,19.56,0.92,0,62
Wattegama,LK,7.35,80.68,1552700702,24.31,24.31,1.67,36,83
Lianran,CN,24.92,102.47,1552700690,17.82,19.44,5,32,71
karkaralinsk,kz,,,,,,,,
Kortkeros,RU,61.81,51.56,1552700601,-8.38,-7.78,2,0,85
artyk,ru,,,,,,,,
Vetlanda,SE,57.43,15.09,1552700462,1.79,2.22,3.1,88,100
Harper,US,30.3,-99.24,1552700704,8.96,10.56,3.12,1,39
Constitucion,MX,23.99,-104.67,1552700416,18.98,20,5.1,90,13
Vao,EE,59.1,26.19,1552700712,1.46,1.46,5.67,88,97
Sinnamary,GF,5.38,-52.96,1552700713,27.26,27.26,4.97,68,90
South Venice,US,27.05,-82.42,1552700713,23.35,24.44,2.1,90,88
Tahoua,NE,14.89,5.26,1552700715,23.31,23.31,6.92,0,23
usevya,tz,,,,,,,,
Kavaratti,IN,10.57,72.64,1552700718,28.11,28.11,2.07,0,100
Katobu,ID,-4.94,122.53,1552700719,25.96,25.96,2.57,76,100
Inirida,CO,3.87,-67.92,1552700720,24.46,24.46,1.32,24,91
Okhotsk,RU,59.36,143.24,1552700721,-7.4,-7.4,4.32,80,82
samusu,ws,,,,,,,,
Yanam,IN,16.73,82.22,1552698000,24,24,4.02,20,78
Hattiesburg,US,31.33,-89.29,1552700103,13.97,15,3.6,1,62
Aswan,EG,24.09,32.9,1552700726,9.66,9.66,1.27,0,71
Faanui,PF,-16.48,-151.75,1552700727,28.76,28.76,1.52,12,100
Tautira,PF,-17.73,-149.15,1552700583,28.94,29,3.6,75,74
Puerto Quijarro,BO,-19,-57.72,1552700729,24.81,24.81,1.62,8,92
Bonthe,SL,7.53,-12.5,1552700730,26.46,26.46,2.37,0,91
Komsomolskiy,RU,67.55,63.78,1552700732,-16.95,-16.95,4.32,32,69
Labelle,US,26.76,-81.44,1552700730,23.42,24.44,1.5,90,83
Arvika,SE,59.65,12.59,1552699962,-0.63,0,1,36,92
Alcaniz,ES,41.05,-0.13,1552700735,0.41,0.41,0.97,0,70
Khatanga,RU,71.98,102.47,1552700736,-21.65,-21.65,2.52,44,89
Murgab,TM,37.5,61.97,1552698000,15,15,5.1,40,58
San Luis,AR,-33.3,-66.34,1552700526,15.41,15.41,2.22,76,98
Zaranj,AF,30.95,61.86,1552700741,12.71,12.71,3.02,56,53
Shetpe,KZ,44.14,52.16,1552700742,4.96,4.96,4.92,68,35
